album_id,album_name,album_type,artist_id,artist_name,rank_position,track_duration,track_id,track_name,track_number,track_popularity,track_type,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,type,valence
4ttt2eO1tl8ryYnSswzwh7,Uzi Does It,ALBUM,2bff7Eowh5sgIdtUYSDCqI,Get Busy Committee,99,259355,2F9NqqQeqoC9xjBpP78Pi4,Say Whaaat,8,14,track,0.00407,0.35,259355,0.776,0.0,7,0.067,-6.756,1,0.303,84.602,4,audio_features,0.345
5hqGibvfAVIp9plqmnflCg,Daybreaker,ALBUM,5DK8eK7fjvRsziXzyr3sFA,Moon Taxi,100,213066,4EAoAeIwUUvevkPLvhwTpx,Make Your Mind Up,6,52,track,0.0046,0.746,213067,0.839,9.31e-05,9,0.0897,-4.156,0,0.0298,121.923,4,audio_features,0.757
5OVGwMCexoHavOar6v4al5,Interstellar: Original Motion Picture Soundtrack (Deluxe Digital Version),ALBUM,0YC192cP3KPCRWx8zr8MfZ,Hans Zimmer,101,126959,15WRWc3qqlyAzTne9q5tQK,Cornfield Chase,2,67,track,0.948,0.33,126960,0.229,0.973,9,0.0998,-16.442,0,0.0375,96.158,4,audio_features,0.0593
5j6RB5MpNUKWJJ2uxibdJh,Logos,ALBUM,3kGhAL9j1WyNjNkWTRQd8T,Atlas Sound,102,238893,2e3KUBfcAwAyQtgbeUBKob,Walkabout (W/ Noah Lennox),3,41,track,0.0406,0.536,238893,0.922,8.92e-05,2,0.214,-6.247,1,0.0667,121.977,4,audio_features,0.353
6WnfWrfsfu7T9TXbHIFHX9,Static,ALBUM,3Oim8XBPbznAa8Jj8QzNc8,Cults,103,223746,2enPRFda84VE2wtI8c86Uf,Always Forever,3,58,track,0.00181,0.174,223747,0.742,0.281,8,0.198,-5.93,1,0.0485,163.378,4,audio_features,0.36
4rX32NbzVfD94VvckCyNjc,California,SINGLE,3oK9o2DLbk1VEda7KOMotd,The Lagoons,104,261773,35QAUfIbfIXT3p3cWhaKxZ,California,1,68,track,0.276,0.786,261773,0.686,0.668,4,0.0416,-7.18,1,0.0289,119.997,4,audio_features,0.542
7EdH3HFfkPD44j2uh4HYNr,Cape Dory,ALBUM,1ybAN3utgdoUL1MUCtH4QM,Tennis,105,165466,1uCW4X6aY2jsuLX7ZV8zNP,Marathon,4,44,track,0.956,0.585,165467,0.402,0.000168,9,0.11,-8.078,0,0.0266,80.48,4,audio_features,0.743
1nInmRb5yL0VbKQ4XNJbl2,Mountains Beaches Cities,ALBUM,5DK8eK7fjvRsziXzyr3sFA,Moon Taxi,106,208080,30lgD1UuHczwlxa7NZFeSQ,Morocco,2,59,track,0.0178,0.616,208080,0.894,0.000103,1,0.153,-3.209,0,0.0508,115.077,4,audio_features,0.542
7ppypgQppMf3mkRbZxYIFM,Shrines,ALBUM,1TtJ8j22Roc24e2Jx3OcU4,Purity Ring,107,239613,45aZM1UAGfThfsQ6haapFu,Lofticries,10,56,track,0.116,0.671,239613,0.73,0.000356,8,0.201,-6.773,1,0.0369,112.011,4,audio_features,0.299
6hYyjSSCrzd9uLvhSeok3a,Cincinnati Street (Pnau Remix) - Single,SINGLE,2ObAfkkOX0FYn7dA90VtYa,Miss Velvet,108,299870,6AnGNKpXoXSIohI2PEdduR,Cincinnati Street (Pnau Remix) [Extended Version] - Extended Version,2,28,track,0.0115,0.604,299870,0.915,0.147,9,0.234,-3.797,1,0.0572,94.478,4,audio_features,0.557
